Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating
526,35,36292649,159%,108%,155%,Intel Core i7-9700K,106.4%,Nvidia RTX 2080S (Super),149.8%
527,36,36292650,35%,100%,33%,Intel Core i7-8700K,92.4%,Nvidia GTX 960,28.9%
528,38,36292655,239%,101%,268%,Intel Core i9-10900K,98.3%,Nvidia RTX 3090,252.3%
529,39,36292658,53%,75%,47%,AMD Ryzen 7 3750H,66.2%,Nvidia RTX 2060 (Mobile),72.7%
530,40,36292659,72%,94%,66%,Intel Core i5-10400F,92.1%,Nvidia GTX 1660S (Super),73%
531,41,36292671,88%,111%,95%,Intel Core i9-10900K,109.5%,Nvidia GTX 1660S (Super),75.2%
532,42,36292675,2%,31%,2%,AMD A4-6210 APU R3 Graphics,32.1%,AMD Radeon R3 Graphics,1.6%
533,43,36292678,2%,62%,2%,Intel Core i3-4170,67.2%,Intel HD 4400 (Desktop 1.15 GHz),2.5%
534,44,36292688,20%,83%,18%,Intel Core i7-1065G7,78.7%,Intel Iris Plus G7,13.8%
535,45,36292696,142%,103%,136%,Intel Core i7-9700K,98.6%,Nvidia RTX 2080S (Super),142.6%
536,48,36292698,230%,109%,260%,AMD Ryzen 9 5900X,106.9%,Nvidia RTX 3080,220.6%
537,49,36292700,118%,86%,100%,Intel Core i5-9400F,84.9%,Nvidia RTX 2080,140.6%
538,50,36292704,17%,84%,16%,Intel Core i5-9300H,84.2%,Intel UHD Graphics 630,9.6%
539,51,36292707,109%,92%,92%,Intel Core i7-7700K,87.4%,Nvidia GTX 1080-Ti,124.5%
540,53,36292708,88%,96%,89%,AMD Ryzen 7 3700X,92.4%,AMD RX 5600-XT,90.8%
541,54,36292712,75%,94%,79%,Intel Core i7-10700F,93.6%,Nvidia GTX 1660S (Super),77.7%
542,55,36292714,100%,100%,92%,Intel Core i5-10600K,96%,Nvidia GTX 1070-Ti,102.3%
543,56,36292726,112%,94%,114%,AMD Ryzen 7 3800X,92.1%,Nvidia RTX 2070S (Super),120.7%
544,57,36292728,202%,102%,184%,Intel Core i7-8700K,102.4%,Nvidia RTX 3080,200.8%
545,58,36292735,118%,98%,135%,AMD Ryzen 9 3900X,92.8%,Nvidia RTX 2070S (Super),123%
546,59,36292753,12%,61%,10%,AMD Phenom II X6 1055T,55.4%,Nvidia GTX 750-Ti,17.8%
547,60,36292755,64%,78%,58%,AMD Ryzen 5 1600,73.1%,Nvidia GTX 1660-Ti,79.9%
548,61,36292759,240%,108%,283%,AMD Ryzen 9 5900X,99.8%,Nvidia RTX 3090,246.8%
549,62,36292761,27%,46%,20%,Intel Core i5-6500,47.7%,Nvidia GTX 1060-6GB,58.6%
550,63,36292762,51%,85%,49%,AMD Ryzen 5 3600,82.8%,Nvidia GTX 1650S (Super),56.4%
551,64,36292765,4%,47%,4%,Intel Core i7 M 620,46.3%,Nvidia Quadro FX 880M,2.6%
552,65,36292773,69%,91%,65%,AMD Ryzen 5 3600XT,90.8%,Nvidia GTX 1660S (Super),74.8%
553,66,36292775,109%,81%,101%,Intel Core i7-7800X,81.3%,Nvidia GTX 1080-Ti,137.4%
554,67,36292778,91%,89%,78%,Intel Core i7-4790K,83.5%,Nvidia GTX 1070-Ti,107.7%
555,68,36292785,87%,109%,95%,Intel Core i9-10900K,106.3%,Nvidia GTX 1660S (Super),76.2%
556,69,36292787,14%,85%,13%,Intel Core i7-8559U,83.8%,Intel Iris Plus Graphics 655,9.7%
557,70,36292798,22%,93%,21%,Intel Core i7-8700K,90.6%,Nvidia GTX 750-Ti,16.1%
558,71,36292799,35%,94%,32%,Intel Core i7-8700,96.1%,Nvidia GTX 1050-Ti,29.4%
559,73,36292802,66%,83%,59%,AMD Ryzen 5 2600,82.3%,Nvidia GTX 1660-Ti,78.2%
560,74,36292805,47%,89%,40%,Intel Core i5-8400,90.6%,Nvidia GTX 1060-6GB,49%
561,75,36292808,97%,96%,81%,Intel Core i7-7700,88.9%,Nvidia GTX 1080,105.3%
562,76,36292814,55%,101%,52%,AMD Ryzen 5 5600X,100.7%,AMD RX 470,47.6%
563,77,36292817,144%,106%,125%,Intel Core i5-9600KF,103.4%,Nvidia GTX 1080-Ti,138.2%
564,78,36292819,23%,77%,17%,Intel Core i3-8100,76.9%,Nvidia GTX 1050-Ti,29.2%
565,80,36292820,85%,93%,90%,AMD Ryzen 7 3700X,88.1%,AMD RX 5600-XT,93.1%
566,81,36292822,24%,91%,23%,Intel Core i7-4930K,92.8%,Nvidia GT 1030,15.7%
567,82,36292823,19%,80%,17%,Intel Core i7-4771,74.9%,Nvidia GTX 660,19.4%
568,0,36292847,122%,92%,143%,AMD Ryzen 9 3900X,84.6%,Nvidia RTX 2080S (Super),143.2%
569,2,36292856,7%,60%,7%,Intel Core i5-4300U,61%,Intel HD 4400 (Mobile 1.0/1.1 GHz),2.8%
570,3,36292864,53%,94%,59%,AMD Ryzen 9 3900X,92.7%,Nvidia GTX 970,49.5%
571,4,36292879,57%,90%,56%,AMD Ryzen 7 2700X,89.3%,AMD R9 Fury,61.1%
572,6,36292883,56%,93%,53%,AMD Ryzen 5 1600,88.6%,AMD RX 580,54.3%
573,7,36292885,73%,91%,66%,Intel Core i5-10400,89%,Nvidia GTX 1070,78.4%
574,8,36292886,136%,100%,138%,Intel Core i7-10700K,100.5%,Nvidia GTX 1080-Ti,134.9%
575,9,36292889,60%,80%,54%,AMD Ryzen 5 2600,78.9%,Nvidia GTX 1660S (Super),75.7%
576,10,36292892,40%,65%,30%,AMD FX-6300,60.5%,Nvidia GTX 1660S (Super),67.9%
577,11,36292900,66%,105%,54%,Intel Core i5-7600K,97.1%,AMD RX 580,60.1%
578,12,36292902,89%,71%,100%,AMD Ryzen 7 3700X,56.8%,Nvidia RTX 3070,150.8%
579,13,36292905,40%,82%,36%,AMD Ryzen 5 2600,79.1%,AMD RX 580,41.2%
580,14,36292909,27%,94%,26%,AMD Ryzen 5 3600X,87.1%,AMD R7 265,20.4%
581,15,36292910,81%,83%,62%,Intel Core i5-6600K,78%,Nvidia GTX 1080,103.9%
582,17,36292912,117%,100%,106%,Intel Core i7-8086K,101.5%,Nvidia RTX 3080,113.3%
583,18,36292913,105%,68%,141%,AMD Ryzen 9 3900X,60.8%,Nvidia RTX 2080-Ti,166.8%
584,19,36292916,10%,62%,7%,AMD FX-4300,62.8%,Nvidia GTX 560,13.8%
585,21,36292918,68%,92%,55%,Intel Core i5-9300H,84.7%,Nvidia RTX 2060 (Mobile),75.5%
586,22,36292919,77%,90%,72%,AMD Ryzen 5 3600X,84.4%,Nvidia RTX 2060,87%
587,25,36292923,76%,92%,68%,Intel Core i7-10875H,80.9%,Nvidia RTX 2080S (Super Mobile Max-Q),86.8%
588,26,36292929,50%,90%,41%,Intel Core i3-9350K,85.1%,Nvidia GTX 1060-3GB,52.3%
589,27,36292930,73%,94%,72%,Intel Core i7-5960X,94.3%,Nvidia GTX Titan X,73.4%
590,28,36292940,121%,105%,109%,Intel Core i7-8086K,103.2%,Nvidia RTX 3070,114.1%
591,29,36292948,43%,88%,36%,Intel Core i7-2600K,83.4%,Nvidia GTX 1650,46.9%
592,30,36292950,6%,50%,6%,Intel Core i3-2100,52.7%,AMD Radeon HD 8490,2.4%
593,32,36292953,29%,67%,23%,AMD Phenom II X6 1100T,61.4%,AMD RX 570,45.1%
594,33,36292958,166%,98%,156%,Intel Core i9-9900K,96.9%,Nvidia RTX 2080-Ti,175.7%
595,34,36292962,224%,103%,214%,Intel Core i7-9700K,102.9%,Nvidia RTX 3080,223.2%
596,36,36292964,115%,99%,109%,AMD Ryzen 5 3600,91.9%,AMD RX 5700-XT,121.7%
597,37,36292968,89%,92%,74%,Intel Core i7-7700K,86.9%,Nvidia GTX 1080,99.6%
598,38,36292971,124%,92%,104%,Intel Core i7-6700K,91.8%,Nvidia RTX 2080,136.7%
599,39,36292973,120%,95%,124%,AMD Ryzen 7 3800X,92.2%,Nvidia RTX 2070S (Super),129.4%
600,40,36292981,126%,93%,127%,Intel Core i9-9900K,91.6%,Nvidia GTX 1080-Ti,139.1%
601,41,36292982,175%,104%,181%,Intel Core i7-10700K,103.8%,Nvidia RTX 3070,171.8%
602,43,36292984,14%,72%,11%,Intel Xeon E3-1240,74.3%,Nvidia GTX 650-Ti,16%
603,44,36292988,186%,110%,172%,AMD Ryzen 5 5600X,106.7%,Nvidia RTX 3070,176.4%
604,45,36292989,94%,88%,89%,AMD Ryzen 5 3600,87.3%,Nvidia GTX 1070-Ti,105.5%
605,46,36292999,57%,84%,54%,AMD Ryzen 5 3600,79.5%,Nvidia GTX 1660,70.5%
606,47,36293003,24%,81%,22%,AMD Ryzen 5 2400G,76.4%,Nvidia GTX 1660,21.7%
607,48,36293006,166%,100%,159%,Intel Core i7-9700K,100.5%,Nvidia RTX 3070,166.5%
608,49,36293008,22%,78%,20%,AMD Ryzen 5 3400G,71.6%,AMD Radeon RX Vega 11 Graphics,18.5%
609,50,36293018,71%,75%,53%,Intel Core i5-3570K,72.2%,Nvidia RTX 2060S (Super),101.9%
610,51,36293019,12%,77%,11%,Intel Core i5-1035G1,74.4%,Nvidia GeForce MX230,10.8%
611,52,36293021,82%,86%,77%,AMD Ryzen 5 3600X,85.8%,Nvidia GTX 1070-Ti,94.6%
612,53,36293024,83%,90%,70%,Intel Core i5-9400F,85.1%,Nvidia RTX 2060,93.7%
613,54,36293029,40%,76%,34%,AMD FX-8350,70.4%,AMD R9 390,53.1%
614,56,36293034,118%,98%,100%,Intel Core i5-9600K,93.8%,Nvidia GTX 1080-Ti,123%
615,57,36293037,2%,46%,2%,Intel Core2 Duo E8435,46%,Nvidia GeForce 9600M-GT,1.7%
616,58,36293042,67%,80%,52%,Intel Core i5-4670K,74.4%,AMD RX 5600-XT,87.9%
617,59,36293045,135%,85%,129%,AMD Ryzen 7 2700X,81%,Nvidia RTX 3070,168.5%
618,60,36293046,99%,86%,91%,AMD Ryzen 5 1600X,78.8%,Nvidia RTX 2070S (Super),119.3%
619,61,36293053,30%,88%,24%,Intel Core i5-7600K,83.8%,Nvidia GTX 1050-Ti,28.8%
620,63,36293055,25%,88%,23%,AMD Ryzen 5 3400G,77.1%,AMD Radeon RX Vega 11 Graphics,18.2%
621,65,36293056,96%,90%,91%,Intel Core i7-9700F,94.2%,Nvidia RTX 2060S (Super),102%
622,66,36293061,50%,81%,39%,Intel Core i5-3570,77%,AMD RX 580,61.6%
623,67,36293069,220%,109%,269%,AMD Ryzen 9 5950X,106.3%,Nvidia RTX 3080,211.6%
624,68,36293071,118%,99%,110%,AMD Ryzen 5 3600,94.6%,AMD RX 5700-XT,121.9%
625,69,36293072,16%,64%,13%,AMD Ryzen 5 3550H,48.6%,Nvidia GeForce GTX 1050,27%
626,70,36293074,61%,87%,47%,Intel Core i5-4670K,82.9%,Nvidia GTX 1660,70.6%
627,71,36293075,227%,105%,228%,Intel Core i9-9900K,101.6%,Nvidia RTX 3080,228.8%
628,72,36293079,61%,66%,53%,AMD FX-8350,59.6%,Nvidia GTX 1080,102.4%
629,74,36293081,0%,43%,0%,Intel Core i3-4010U,50.4%,Intel HD 4400 (Mobile 1.0/1.1 GHz),0.4%
630,75,36293088,124%,108%,107%,Intel Core i7-8700K,105.5%,Nvidia GTX 1080,114.7%
631,76,36293089,101%,103%,94%,Intel Core i7-9700K,97.7%,Nvidia RTX 2060S (Super),98%
632,78,36293092,63%,81%,60%,AMD Ryzen 5 3600,75.6%,AMD RX 5600-XT,77.8%
633,79,36293094,152%,92%,179%,AMD Ryzen 9 3900X,86.5%,Nvidia RTX 2080-Ti,175.9%
634,80,36293099,49%,88%,39%,Intel Core i5-4690K,84.9%,Nvidia GTX 970,53.4%
635,81,36293103,16%,94%,16%,Intel Core i9-9900K,102.1%,Intel UHD Graphics 630,5.4%
636,0,36293130,191%,91%,201%,AMD Ryzen 7 3700X,84.4%,Nvidia RTX 3090,232.3%
637,1,36293133,10%,62%,10%,Intel Core i5-8250U,58.4%,Intel UHD Graphics 620 (Mobile Kaby Lake R),4.3%
638,2,36293137,8%,79%,7%,Intel Core i5-1135G7,74.8%,Intel Iris Xe,15.5%
639,3,36293138,96%,97%,96%,AMD Ryzen 7 3700X,90.9%,Nvidia GTX 1080,101.4%
640,4,36293145,27%,92%,26%,AMD Ryzen 7 4800HS,90.4%,AMD Radeon Graphics,18.3%
641,6,36293147,98%,103%,83%,Intel Core i7-4790K,97.3%,AMD RX Vega-64,98.2%
642,7,36293149,107%,94%,104%,AMD Ryzen 5 3600,86.9%,Nvidia RTX 2070S (Super),120.7%
643,8,36293151,146%,93%,151%,AMD Ryzen 7 3700X,82.9%,Nvidia RTX 3070,177.4%
644,10,36293153,112%,88%,109%,AMD Ryzen 5 3600X,79.8%,Nvidia RTX 3060-Ti,140.1%
645,11,36293158,24%,76%,19%,Intel Core i5-7300HQ,69.2%,Nvidia GTX 1050-Ti (Mobile),30.6%
646,13,36293162,7%,66%,6%,Intel Xeon E31220,74.9%,Nvidia Quadro 2000,6.3%
647,14,36293163,265%,111%,301%,AMD Ryzen 9 5900X,108.4%,Nvidia RTX 3090,251.9%
648,15,36293169,203%,98%,184%,Intel Core i7-8700,94.5%,Nvidia RTX 3080,218.8%
649,16,36293171,2%,35%,1%,AMD A10-9600P APU (2016 M.BR),33.2%,AMD Radeon R5 Graphics,4.2%
650,17,36293183,67%,79%,52%,Intel Core i5-4670K,74.1%,AMD RX 5600-XT,88.5%
651,18,36293186,59%,70%,48%,AMD FX-8320E,62.7%,Nvidia GTX 1070-Ti,92.2%
652,19,36293187,3%,60%,3%,Intel Core i5-3330,71.7%,Nvidia GeForce 210,0.9%
653,20,36293189,200%,102%,204%,Intel Core i7-10700K,99.2%,Nvidia RTX 3080,207.1%
654,21,36293220,91%,85%,87%,AMD Ryzen 5 3600X,79.4%,Nvidia RTX 2070S (Super),113.4%
655,22,36293226,42%,79%,34%,Intel Core i7-2600,76.2%,Nvidia GTX 1060-3GB,51.6%
656,24,36293228,91%,91%,94%,AMD Ryzen 7 3700X,86.1%,AMD RX 5700-XT,103.1%
657,25,36293230,72%,92%,72%,AMD Ryzen 7 2700X,86.5%,Nvidia GTX 1660,76.2%
658,26,36293237,42%,94%,38%,Intel Core i7-9850H,85.4%,Nvidia Quadro T2000,39.9%
659,28,36293249,30%,87%,25%,Intel Core i7-9750H,76.1%,Nvidia GTX 1660-Ti (Mobile),32.3%
660,29,36293254,4%,62%,3%,Intel Core i3-7100,67%,Intel HD 630 (Desktop Kaby Lake),4.8%
661,31,36293256,5%,67%,4%,Intel Core i5-8250U,75.8%,Intel UHD Graphics 620 (Mobile Kaby Lake R),5.2%
662,32,36293261,4%,61%,3%,Intel Core i5-3340,69.3%,AMD Radeon HD 6670,5.5%
663,33,36293263,115%,95%,109%,AMD Ryzen 5 3600,89.2%,Nvidia GTX 1080-Ti,125.9%
664,34,36293265,41%,85%,35%,Intel Core i7-6700,80.2%,Nvidia GTX 1650,43.9%
665,35,36293268,30%,76%,28%,AMD Ryzen 5 1600,71.6%,Nvidia GTX 1050-Ti,33.7%
666,36,36293270,44%,79%,40%,AMD Ryzen 5 3400G,70.7%,Nvidia GTX 1060-6GB,54.3%
667,37,36293280,18%,94%,17%,Intel Core i7-9700K,104.6%,Nvidia GTX 1080-Ti,7%
668,38,36293281,27%,93%,27%,AMD Ryzen 9 4900HS,88.2%,AMD Radeon Graphics,19.9%
669,39,36293282,46%,89%,39%,Intel Core i7-4790K,85.5%,Nvidia GTX 970,49.5%
670,40,36293288,23%,81%,20%,Intel Core i7-1165G7,73.2%,Intel Iris Xe,21.6%
671,41,36293299,10%,72%,9%,Intel Core i7-8750H,67.6%,Intel UHD Graphics 630,6.8%
672,43,36293304,263%,104%,268%,Intel Core i9-9900K,102.8%,Nvidia RTX 3090,264.1%
673,44,36293309,19%,77%,17%,AMD Ryzen 5 3400G,72.6%,AMD Radeon RX Vega 11 Graphics,17.4%
674,45,36293310,53%,95%,50%,AMD Ryzen 5 3600X,87%,AMD RX 580,51.8%
675,47,36293312,25%,93%,23%,Intel Core i7-1165G7,81.7%,Intel Iris Xe,17.7%
676,48,36293317,201%,96%,191%,Intel Core i7-9700K,98%,Nvidia RTX 3080,212.3%
677,50,36293321,95%,91%,98%,AMD Ryzen 7 3700X,91.4%,AMD RX 5700-XT,102.5%
678,51,36293323,48%,84%,43%,AMD Ryzen 3 3100,77.2%,Nvidia GTX 1060-6GB,55.3%
679,52,36293326,52%,103%,56%,Intel Core i9-10900K,101%,Nvidia GTX Titan,45.7%
680,53,36293328,38%,78%,33%,Intel Core i7-9750H,73%,Nvidia GTX 1660-Ti (Mobile),43%
681,54,36293333,11%,74%,10%,Intel Core i3-7100,74%,Intel HD 630 (Desktop Kaby Lake),4.7%
682,55,36293345,98%,95%,92%,AMD Ryzen 5 3600,92.1%,AMD RX 5700-XT,102.5%
683,57,36293349,79%,92%,74%,Intel Core i7-9700K,99.8%,Nvidia RTX 2060S (Super),82.4%
684,58,36293350,11%,54%,10%,AMD Ryzen 7 3700U,53.8%,AMD Radeon RX Vega 10 Graphics,2.5%
685,59,36293352,23%,76%,22%,AMD Ryzen 5 1600,71.4%,AMD RX 560,21.4%
686,60,36293358,82%,95%,80%,Intel Core i7-5960X,94.4%,Nvidia GTX Titan X,81%
687,61,36293359,78%,85%,83%,AMD Ryzen 7 3700X,78.3%,Nvidia RTX 2070,99.2%
688,62,36293362,110%,96%,95%,AMD Ryzen 7 3800X 8-Core,90.8%,Nvidia GTX 1080,117.5%
689,63,36293364,25%,88%,23%,AMD Ryzen 5 3400G,77.1%,AMD Radeon RX Vega 11 Graphics,18.2%
690,64,36293365,33%,86%,28%,Intel Core i7-4770,83.9%,Nvidia GTX 770,34.2%
691,65,36293366,155%,93%,157%,AMD Ryzen 7 3700X,83.5%,Nvidia RTX 3070,187.1%
692,66,36293371,91%,90%,86%,AMD Ryzen 5 3600,88%,Nvidia RTX 2060,101%
693,67,36293376,43%,80%,36%,Intel Core i7-4770K,74.1%,Nvidia GTX 1060-6GB,54%
694,68,36293380,37%,75%,30%,Intel Core i7-3770,72.1%,Nvidia GTX 1060-6GB,51.3%
695,69,36293387,186%,101%,192%,Intel Core i7-10700K,101.7%,Nvidia RTX 3080,186.2%
696,70,36293390,111%,93%,104%,AMD Ryzen 5 3600,89.2%,Nvidia RTX 2070S (Super),122.1%
697,71,36293392,95%,92%,88%,AMD Ryzen 5 3600X,91.5%,Nvidia RTX 2060S (Super),100.3%
698,72,36293394,83%,89%,82%,AMD Ryzen 7 2700X,85.8%,Nvidia RTX 2070,91.3%
699,73,36293396,21%,75%,19%,AMD Ryzen 5 2600,76.3%,Nvidia GTX 1050-Ti,27.4%
700,74,36293398,6%,25%,6%,AMD Ryzen 7 3750H,7.8%,Nvidia GTX 1660-Ti (Mobile Max-Q),34.5%
701,75,36293399,10%,70%,9%,Intel Core i7-8750H,58.5%,Intel UHD Graphics 630,6.5%
702,77,36293402,73%,89%,69%,AMD Ryzen 5 3600,85.3%,Nvidia GTX 1070,79.7%
703,78,36293404,90%,94%,85%,AMD Ryzen 5 3600X,90.1%,AMD RX 5600-XT,96.4%
704,79,36293407,29%,81%,26%,AMD Ryzen 5 2400G,76.1%,Nvidia GTX 1660,29.3%
705,0,36293475,114%,83%,87%,Intel Core i5-3570,76.5%,Nvidia RTX 2080,151.7%
706,1,36293478,81%,108%,82%,AMD Ryzen 7 5800X,103.5%,Nvidia RTX 2070S (Super),72%
707,2,36293484,39%,79%,32%,Intel Core i7-2600,73.5%,Nvidia GTX 1060-3GB,49.1%
708,3,36293489,53%,90%,45%,Intel Core i5-8500,93.1%,AMD RX 580,53.2%
709,4,36293490,102%,96%,87%,Intel Core i7-6700K,90.4%,Nvidia GTX 1080,108.1%
710,5,36293493,72%,83%,56%,Intel Core i5-4670K,78.8%,AMD RX 5600-XT,88.4%
711,7,36293495,123%,95%,120%,Intel Core i9-9900K,84.9%,Nvidia RTX 3060-Ti,145.1%
712,8,36293496,195%,91%,236%,AMD Ryzen TR 1950X,86.6%,Nvidia RTX 3090,229.1%
713,9,36293500,113%,95%,107%,AMD Ryzen 5 3600,88.6%,Nvidia GTX 1080-Ti,124.4%
714,10,36293501,132%,91%,128%,AMD Ryzen 5 5600X,79.9%,Nvidia RTX 3070,165.6%
715,11,36293504,46%,97%,43%,Intel Core i7-9700K,97.2%,AMD Radeon RX480,42.5%
716,15,36293506,100%,82%,83%,Intel Core i7-4770K,77.4%,Nvidia GTX 1080-Ti,132.1%
717,16,36293509,8%,39%,8%,AMD Ryzen 7 3700U,35.1%,AMD Radeon RX Vega 10 Graphics,6.7%
718,17,36293510,83%,93%,102%,AMD Ryzen 9 3950X,96.2%,AMD RX 5600-XT,84.2%
719,18,36293516,25%,71%,21%,AMD FX-8370,65.6%,Nvidia GTX 960,32.9%
720,19,36293517,109%,83%,128%,AMD Ryzen 9 3900X,83.3%,Nvidia GTX 1080-Ti,131.2%
721,21,36293521,9%,66%,8%,Intel Core i3-8100,70.3%,Intel UHD Graphics 630 (Desktop Coffee Lake i3),5.1%
722,22,36293524,48%,85%,43%,AMD Ryzen 5 2600,82.7%,AMD RX 580,53.9%
723,24,36293525,56%,88%,47%,Intel Core i7-6700K,84%,Nvidia GTX 1650S (Super),62%
724,25,36293527,45%,87%,36%,Intel Core i3-9100F,81.5%,AMD RX 580,50.1%
725,26,36293528,39%,76%,30%,Intel Core i5-3570,71.2%,AMD RX 580,53.7%
726,27,36293535,71%,98%,65%,Intel Core i7-9700F,95.6%,Nvidia GTX 1660S (Super),72.7%
727,28,36293537,34%,90%,31%,Intel Xeon E-2176M,86.7%,Nvidia Quadro P2000,31.7%
728,30,36293539,51%,96%,51%,AMD Ryzen 7 3700X,90.9%,AMD RX 580,47.1%
729,31,36293545,66%,72%,66%,AMD Ryzen 7 2700,65.6%,Nvidia GTX 1080,101.3%
730,33,36293554,123%,108%,106%,Intel Core i7-8700K,105.6%,Nvidia GTX 1080,113.4%
731,34,36293556,86%,90%,86%,AMD Ryzen 7 2700X,88.1%,Nvidia RTX 2070,92.2%
732,35,36293557,53%,82%,47%,AMD Ryzen 3 3100,80.4%,Nvidia GTX 1650S (Super),62.9%
733,36,36293559,16%,74%,15%,AMD Ryzen 5 4500U,75.1%,AMD Radeon Graphics,12.1%
734,37,36293561,76%,100%,70%,Intel Core i7-5820K,96.3%,Nvidia GTX 1660S (Super),75%
735,38,36293563,81%,99%,81%,AMD Ryzen 7 3700X,94.8%,Nvidia GTX 1660-Ti,80%
736,39,36293566,73%,87%,62%,Intel Core i7-4770K,83.5%,Nvidia GTX 1070,85.8%
737,40,36293568,10%,68%,9%,Intel Core i7-4700MQ,65.5%,Nvidia GeForce GT 750M,6%
738,41,36293571,122%,93%,112%,Intel Core i7-8700K,91.3%,Nvidia RTX 2080,134%
739,42,36293573,105%,92%,78%,Intel Core i7-4790K,72.2%,Nvidia GTX 1080-Ti,144.7%
740,43,36293577,13%,69%,11%,AMD Ryzen 3 3200G,73.7%,AMD Radeon Vega 8 Graphics,12.8%
741,44,36293578,76%,81%,70%,AMD Ryzen 5 1600,76.6%,AMD RX 5600-XT,92.7%
742,45,36293580,62%,86%,52%,Intel Core i7-6700K,85.9%,Nvidia GTX 1660,74.5%
743,46,36293585,19%,93%,19%,Intel Core i9-10900,101.8%,AMD HD 5770,11.4%
744,48,36293586,126%,102%,132%,Intel Core i7-10700K,98.4%,Nvidia RTX 2080,131.3%
745,49,36293590,75%,89%,70%,Intel Core i7-8700,85.2%,Nvidia RTX 2070,86%
746,50,36293605,136%,84%,128%,AMD Ryzen 5 3600,83.3%,Nvidia RTX 3070,166.9%
747,51,36293607,43%,96%,39%,Intel Core i7-9850H,88.5%,Nvidia Quadro T2000,40.5%
748,52,36293609,82%,87%,76%,AMD Ryzen 5 2600X,81.3%,Nvidia RTX 2060,93.7%
749,53,36293614,37%,57%,28%,AMD Ryzen 7 3700X,46%,AMD RX 5700-XT,77.3%
750,54,36293616,12%,70%,11%,Intel Core i5-1135G7,61%,Intel Iris Xe,12%
751,55,36293621,84%,101%,72%,Intel Core i5-9600K,96.9%,Nvidia RTX 2060,80.9%
752,56,36293622,7%,59%,6%,Intel Core i7-4712HQ,61.1%,Intel HD 4600 (Mobile 1.15 GHz),2.5%
753,58,36293626,183%,108%,172%,AMD Ryzen 5 5600X,106.5%,Nvidia RTX 3070,173.6%
754,59,36293628,105%,90%,99%,AMD Ryzen 5 3600,86%,AMD RX 5700-XT,119.1%
755,60,36293638,8%,62%,7%,Intel Core i5-4300M,61.5%,Intel HD 4600 (Mobile 1.15 GHz),3.3%
756,61,36293640,44%,89%,37%,Intel Core i5-9600K,94.8%,AMD RX 570,47.4%
757,63,36293643,84%,88%,107%,AMD Ryzen 9 3950X,82.7%,Nvidia RTX 2080,96%
758,65,36293648,59%,84%,54%,AMD Ryzen 5 2600,82.4%,Nvidia GTX 1660-Ti,69.6%
759,66,36293650,114%,107%,109%,AMD Ryzen 5 5600X,98.5%,Nvidia GTX 1080,111.6%
760,67,36293657,10%,75%,11%,AMD Ryzen 7 2700X,83%,AMD R9 Fury,7.4%
761,68,36293668,53%,92%,50%,Intel Core i7-9700K,94%,AMD RX 580,52.1%
762,69,36293669,81%,100%,74%,Intel Core i7-5820K,97%,Nvidia GTX 1660S (Super),79.6%
763,70,36293672,133%,96%,113%,Intel Core i5-9600K,96.6%,Nvidia RTX 3060-Ti,136%
764,71,36293673,73%,92%,57%,Intel Core i5-4690K,87.7%,Nvidia GTX 1070,79.9%
765,72,36293674,55%,83%,56%,AMD Ryzen 7 1700X,79.3%,AMD RX 580,60.5%
766,74,36293682,40%,76%,36%,AMD Ryzen 5 2400G,73.3%,Nvidia GTX 1650,45.9%
767,75,36293687,14%,72%,13%,AMD Ryzen 7 3750H,67.8%,AMD Radeon RX Vega 10 Graphics,13.4%
768,76,36293688,70%,85%,64%,AMD Ryzen 5 2600,81.9%,Nvidia GTX 1070,78.5%
769,77,36293692,184%,89%,154%,Intel Core i7-6700K,83.9%,Nvidia RTX 3080,226%
770,79,36293698,58%,100%,56%,AMD Ryzen 5 3600XT,90.7%,Nvidia GTX 1060-6GB,55.6%
771,0,36293713,113%,106%,115%,Intel Core i9-9900K,102.9%,Nvidia RTX 2060S (Super),106%
772,2,36293718,24%,64%,24%,AMD Ryzen 5 2600,54.4%,Nvidia RTX 2060S (Super),42.6%
773,3,36293720,15%,58%,11%,AMD Phenom II X4 840,56.1%,AMD HD 7870,28.5%
774,4,36293722,2%,22%,2%,Intel Core i5-2430M,17.9%,Nvidia GeForce 410M,1.5%
775,5,36293724,49%,80%,42%,Intel Core i7-9750H,72.2%,Nvidia RTX 2060 (Mobile),66.1%
776,6,36293728,38%,104%,37%,Intel Core i7-10700K,100.3%,Nvidia GTX 1050-Ti,28.8%
777,7,36293729,128%,101%,127%,Intel Core i9-9900K,98.4%,Nvidia RTX 2070S (Super),128.8%
778,8,36293731,12%,63%,12%,Intel Xeon E5-2670,68%,Nvidia Quadro FX 3800,6.8%
779,9,36293735,4%,53%,3%,Intel Core i3-2120,56.2%,Nvidia GeForce GT 520,1.9%
780,11,36293738,69%,91%,69%,AMD Ryzen 7 3700X,91.4%,Nvidia GTX 1660S (Super),71.2%
781,13,36293742,9%,81%,8%,Intel Core i5-9600K,94.4%,AMD RX 570,6.8%
782,14,36293745,62%,84%,58%,AMD Ryzen 5 2600X,78.7%,Nvidia GTX 1660,70.9%
783,15,36293748,56%,84%,56%,AMD Ryzen 7 1700X,80%,AMD RX 580,60.7%
784,16,36293751,167%,103%,169%,Intel Core i7-10700KF,101.1%,Nvidia RTX 3070,168.2%
